Files,Shortnames,Dates,RA,DEC,CH4-J_burgasser,CH4-J_burgasser_error,CH4-H_burgasser,CH4-H_burgasser_error,CH4-K_burgasser,CH4-K_burgasser_error,H2O-J_burgasser,H2O-J_burgasser_error,H2O-H_burgasser,H2O-H_burgasser_error,H2O-K_burgasser,H2O-K_burgasser_error,K-J_burgasser,K-J_burgasser_error,H-dip_burgasser,H-dip_burgasser_error,H2O_allers,H2O_allers_error,FeH-z_allers,FeH-z_allers_error,VO-z_allers,VO-z_allers_error,FeH-J_allers,FeH-J_allers_error,KI-J_allers,KI-J_allers_error,H-cont_allers,H-cont_allers_error,Color-d2_geballe,Color-d2_geballe_error,Cont-1.0_geballe,Cont-1.0_geballe_error,H2O-1.2_geballe,H2O-1.2_geballe_error,H2O-1.5_geballe,H2O-1.5_geballe_error,H2O-2.2_geballe,H2O-2.2_geballe_error,CH4-1.6_geballe,CH4-1.6_geballe_error,CH4-2.2_geballe,CH4-2.2_geballe_error,H2O-A_reid,H2O-A_reid_error,H2O-B_reid,H2O-B_reid_error,sHJ_testi,sHJ_testi_error,sKJ_testi,sKJ_testi_error,sH2O_J_testi,sH2O_J_testi_error,sH2O_H1_testi,sH2O_H1_testi_error,sH2O_H2_testi,sH2O_H2_testi_error,sH2O_K2_testi,sH2O_K2_testi_error
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,0.7679651306660086,0.005694294799066214,1.0050205756566628,0.010422664880633575,1.0229200170793646,0.011984290365693246,1.0041271831358007,0.008405932029051754,0.9458227955206945,0.01126484789021873,1.006009052905796,0.012000146139415777,0.3299702268214332,0.0034479188755187863,0.9784901214148188,0.010553984780529619,1.064983210024131,0.012211768873386373,1.146532665618019,0.00975893838713262,1.0137822147024504,0.006244094681670162,,,1.045625893253774,0.007104049223644938,0.9692364873564022,0.00900671636184634,2.789564503030963,0.09234651885493789,1.6786493075614544,0.02202026787866751,0.9992500194989201,0.007706452097722174,1.0392369709638767,0.013285536149751385,0.9929119489454811,0.011543021959002215,0.9950045046059057,0.011210512603644387,0.9775935393807174,0.011863466869262934,0.9107061537045756,0.0063973001925898484,0.9197415060951146,0.00936557174765028,0.42071249537637834,0.009571908755475754,0.9792641269237299,0.008386153815814494,-0.08808677592770736,0.0073983258334749105,0.04313303793455634,0.011300600844486162,0.3195476737851082,0.013785936328497882,0.02901216876007958,0.013973526820951923
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,0.9925125714013554,0.04553984335582795,1.2718497249974132,0.022425942827539673,1.1704595729043794,0.006400204894176693,0.5631441095986474,0.039402397224036906,0.7523026784597492,0.01784960442592232,0.9224653112159659,0.0072157956098220085,3.128593047510957,0.12468742189149802,0.9784590106372083,0.013479316626687148,1.2387628526175354,0.030265271251743695,0.8444996983545054,0.14050619677812556,0.9000184752911079,0.10033407690499793,1.303623344695406,0.059089776602281124,1.0128272662007838,0.03994974507727288,1.0769047358828234,0.020802080093671082,2.594280172707034,8.923514221347782,2.923702643359987,7.588124951143639,1.7769960897578556,0.13735912881811846,1.4513550367714576,0.04213675120398117,1.096621589967218,0.007964887240502958,0.7862564109152391,0.014784698612809104,0.8543652622863335,0.004830610888228722,1.0944767749627504,0.0397348249068049,0.6519545069677471,0.015967552027528874,-0.8544653642792887,0.027738418247656688,-0.999410732883266,0.02606001344349187,0.8201419040152071,0.058133977215723394,0.5790636311871595,0.027102223124964707,-0.03158702646041933,0.013816359643711145,0.12889409080271505,0.007744065897608639
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,0.9658835808808524,59.08524404900305,1.6513798837906501,0.0510203988570138,1.351635001168367,0.0032142657826994808,-0.0037537276003433897,7.858326140761945,0.6153399632064782,0.036005309160791775,0.7323870192367079,0.0023567124091073495,166.24989883665822,1134.6250907129936,0.9842962581830051,0.02377417996562625,1.3784564466217017,0.08386699070279616,0.3102107864408825,3.3147903361832913,-2.0914904060305264,25.16807947720874,,,-0.04511064177356626,3.3830670673827266,1.2211834210730934,0.04278327134099923,-1.177937960701127,5.961821978809945,0.5675423528079728,38.93383544861038,-16.169120917653768,433.64532237553675,2.2272998367890433,0.1721948996963062,1.400016395552658,0.0042053108765573435,0.6055541852093753,0.016513400964183036,0.7398447059565562,0.0018048794278101793,3.8339381749090173,17.380522618859608,0.4764294592388372,0.026910106674344736,-1.8389140871044192,0.08441160111780453,-1.9706866834159176,0.01651356696069055,7.171840411445189,38.75474305885204,1.1584111474109553,0.054090169171380605,-0.6220089039906543,0.015658554498413673,0.44017518978250203,0.0035417674816989714
spex_prism_0436+2300_170216.fits,J0436+2300,170216, 04:36:09.43, 23:00:09.2,0.7766697011670842,0.004140428839148629,1.1298795604752259,0.004583505561477859,1.0733895182245046,0.005778251649546868,0.8627753359041445,0.006372800274708162,0.8864697388433146,0.005074242707724586,1.0368436546997084,0.005426590313102177,0.5323209632425349,0.002771945795056499,1.0039873823075687,0.003946419890995555,1.0664630066929144,0.005835235367565736,1.0100616118961432,0.008462924137111732,1.0278087256068031,0.0063243190466863485,1.0311072672144939,0.004811434488982875,1.0232722401724055,0.004327602926362088,1.03050419987631,0.004543081689567984,4.116538722629485,0.4053187250895894,2.127265475395011,0.04281133813193698,1.1809871053684768,0.007463342893442148,1.1675785707131314,0.006461458396628652,0.9711367837414527,0.004863288795668036,0.8850500840809983,0.0038376964473065558,0.9316282514609437,0.00440127081097155,0.842447615405638,0.004638324872050119,0.8221352909569698,0.005288172434485469,0.07315809026358282,0.0048891301090411895,0.6091297279015877,0.00468746262309232,0.23169671821647858,0.006507723475426784,0.2541986123721676,0.0052977260526682465,0.2953686835449821,0.005119257751301371,-0.03185604737267747,0.0052093721104810335
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,0.768389775895869,0.004111648736881815,1.0551618951990913,0.005168926504990014,0.9902355963855505,0.0049029554462678634,0.9505543523936066,0.00598797961923118,0.9524130864547327,0.00503841864355174,1.0347055339666236,0.005526218173903746,0.45596691464472816,0.002573161361510241,0.9986868328575254,0.003961209715322591,1.0334133751833912,0.006172347402802103,0.9889959553920149,0.00669609717957147,0.9935623739679182,0.005430620526229415,0.985765236391078,0.004155497564038207,1.021929167238154,0.004851541203067146,1.0117294992755912,0.00473655168957658,2.5571220347552255,0.09283354662266455,1.576568154537516,0.015670413581962084,1.0588105732987547,0.006468029510751532,1.0637392820806746,0.005913911552421172,0.9598560452744203,0.005434201031267397,0.9477218657628996,0.004102879994557607,1.009860687345608,0.00508948812324286,0.9001457156818798,0.004186710385873972,0.9209738093982616,0.00520411869636409,0.15793038831783554,0.004681903464571228,0.7533870230442873,0.004427053773862935,0.07188901290567042,0.005977965445190811,0.1004300082427121,0.0052778242594716815,0.29620424911848725,0.00556294046815416,-0.07879729096577545,0.005874331401810275
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,0.7319069994554118,0.012572000885954627,1.1006280945105005,0.0206580247324255,1.043280203355999,0.014043949890238919,0.7336676853012346,0.017270587521784113,0.6270496128247903,0.012169346967669137,0.7334409596385933,0.012128990588960505,0.6623496531603305,0.011917592611262393,0.956244013381108,0.014215028502686973,1.471142019386276,0.03537505866676001,1.1949901563422296,0.04705753656413082,0.9978889158818376,0.022245376581230908,1.0134430141371304,0.02063554684466041,1.1127666155290719,0.01749945002820286,0.9158918650819763,0.017094455237505468,2.4804250517116344,1.007339521290936,3.183586184730516,0.3716866276768475,1.4151840582189439,0.0329150648221107,1.7899491271197958,0.04196903004238305,1.404031412535389,0.023040922826122655,0.9085721189451789,0.014502170097604626,0.9585152644354066,0.013642752179141208,0.6585117575311042,0.010404463791690695,0.5759789234730966,0.013542012234316132,0.006862485764374842,0.016498424486052224,0.30663910009621076,0.016288106072206508,0.3653320320844969,0.019007423705459908,0.6204503185939501,0.020735843982240248,0.4526198222809467,0.01835651645928891,0.3786854092864331,0.019029704123578458
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,0.7914716431764586,0.0056411722685574,0.9892768714708583,0.0065079497663714505,1.0293307105930627,0.00622534406200779,0.9873290544876782,0.006624682697444592,0.9195932922753711,0.0055989184031715235,0.9304927473603031,0.005866725114031368,0.4059065623564035,0.0027589217206445316,0.9702705837547032,0.0054357200468358345,1.1005325363038874,0.006982308898727496,1.2336873498111667,0.009886332684111612,1.079980274553289,0.0054979688792149385,,,1.081840188388272,0.005407429956515599,0.9334315499472694,0.005295079633890806,4.509809256541598,0.2504207306492474,2.293245547673501,0.03420391974504035,1.0407045956669534,0.005693698312884776,1.113158704665882,0.00679966327943605,1.0982047750014106,0.006362149089304706,1.0108393603837098,0.005860413065973251,0.9715050660674805,0.006270395183765641,0.8344898859240708,0.004482740233246572,0.8936017430294834,0.006466798436825956,0.3220962555632571,0.00657115983806162,0.8213009004303198,0.005430951079965925,0.01343436507378964,0.005318531156919398,0.10050518729107388,0.006422759247449168,0.2909030050871606,0.006855710607758371,0.08124926959354604,0.006709055731209142
spex_prism_0539+4712_170216.fits,J0539+4712,170216, 05:39:26.17, 47:12:45.3,0.720565205486317,0.004543815712412316,1.0379631503420301,0.0084767310413438,1.041497854054755,0.009208554689903382,0.9517348283632674,0.007168333513507195,0.8733351287510405,0.007476737634356816,0.9269446414901548,0.008175584374865184,0.36251555697181326,0.003029528609474603,0.9790969594911524,0.006881887058348766,1.1357682384352503,0.009588195573751972,1.1459343284993915,0.011048902481472894,1.0749685304353735,0.008385851898302762,1.014186363187753,0.00645353432347375,1.0889810001735576,0.006035050568052707,0.9457779512504313,0.006539696393240021,3.848707714005355,0.3146430495541206,2.4247261561094944,0.053284619312506075,1.0611319899675902,0.006929978213368105,1.1995461280290354,0.01087794006614957,1.1066236180899396,0.009669805302122823,0.9634253390117746,0.006909635461022625,0.9601556029201637,0.0082921996613898,0.7353995790984637,0.005612716042048428,0.8281085645620107,0.008836045238563265,0.3638945655615346,0.006362235466188123,0.9000243481077004,0.005838169560342142,0.04991958244981348,0.006872185287473966,0.2090741032117553,0.0089810056149737,0.41244783054413503,0.009245028029038128,0.11660391913610077,0.009894188100997686
spex_prism_0022+0324_160911.fits,J0022+0324,160911, 00:22:10.50, 03:24:43.2,0.7494825658771136,0.001728801345084078,0.9700061172052723,0.002458502807313971,0.919890433354884,0.0027753654204913454,1.1061401832995044,0.0028460742225039164,1.024174691408872,0.002246836383820486,1.0543948640250813,0.003540696384925614,0.307094127487407,0.0007977925515448535,0.9910590880271408,0.0019013782402778736,0.9682004646487371,0.0023925970300666716,1.0408873780903491,0.002129733247973439,0.9886307286339114,0.0019925912552444954,,,1.0196393736019305,0.0020207190703295298,1.0076036676516806,0.002187491489798845,1.472377636593266,0.007130279312549586,1.1086206477833758,0.003215987479029343,0.897219569223144,0.0022015162889930866,0.9562442572490364,0.0027109565821159826,0.9486864913370071,0.002764692379547925,1.030921333652147,0.0026066671732188794,1.0870859873528118,0.0033261947057255424,0.9187641999220107,0.0019352286899324718,1.0281606272685937,0.0025848711562303285,0.41500677048756035,0.0021264021821273157,1.0647277169027745,0.0018361158055191689,-0.1787824742275018,0.002159329487147391,-0.08014380058061778,0.002763409974384672,0.27809009973137344,0.0026556862017228238,-0.09656994480445345,0.0035942879110293273
spex_prism_0433+2428_170105.fits,J0433+2428,170105, 04:33:01.43, 24:28:23.3,0.8443655179144807,0.023930924554845367,1.033637159981389,0.023362623286503213,0.9260794563928899,0.020605009522948064,0.8271544784026694,0.03360638334527816,0.9779147195090145,0.028195659795467638,0.9833970321079165,0.02272893040406105,0.7267056780282487,0.020200201981904902,0.9805493998799532,0.019796901940250692,0.96274554819694,0.03211249543651121,0.9491038236847371,0.033160958799969456,1.0193774662986375,0.02744665308295782,0.9404092010832498,0.023573736444710273,0.9759499971891991,0.025222946445969605,1.028320792785668,0.022621882458680978,2.206100520890779,0.49131863160865713,1.656330381847601,0.1238799616901174,1.2195652695545667,0.05029115256234291,1.0813532950906555,0.03492539282423578,0.9879902684727568,0.0193027140867777,0.9674574780361084,0.024316452395184745,1.0798209517518431,0.02387104108192566,0.9728502335756283,0.03061961615035375,0.9217888523300815,0.025295135906914182,-0.10506138557055315,0.03071347443898679,0.34854723444821045,0.03061341896678318,0.209119391214326,0.043958873190132766,0.09130460555846955,0.029525498802321,0.11601563220105805,0.028255436565916253,-0.0400438556322582,0.02199958641071865
