Files,Shortnames,Dates,RA,DEC,model,instrument,teff,logg,z,enrich,stat,scale,radius
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,btcond,SPEX-PRISM,2700.0,3.5,-0.0,0.0,7429.08770608349,1.6176924426443738e-20,0.056412652449372006
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,btnextgen,SPEX-PRISM,2700.0,3.5,-0.0,0.0,6637.936705754014,1.6187371261693777e-20,0.05643086476697442
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,btsettl08,SPEX-PRISM,2700.0,3.0,-0.0,0.0,8250.207429575177,1.6076656730214492e-20,0.056237552454112195
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,btsettl15,SPEX-PRISM,2700.0,5.0,-0.0,,10259.772221777874,1.5039937887177492e-20,0.05439407092399932
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,burrows06,SPEX-PRISM,2000.0,5.5,-0.5,,25512.508415900353,5.0237860585084e-20,0.09941321295066124
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,cond01,SPEX-PRISM,3200.0,2.5,-0.0,,22525.294457503398,7.62121269646674e-21,0.03872046667899553
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,drift,SPEX-PRISM,3000.0,3.0,0.3,,11278.868909326073,9.817407851326495e-21,0.043946769781323246
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,dusty01,SPEX-PRISM,2600.0,4.0,-0.0,,17723.94562763602,1.761761264122083e-20,0.058871089112954376
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,madhusudhan11,SPEX-PRISM,1700.0,5.0,-0.0,,101921.95591482146,9.916275214599206e-20,0.13966990175493404
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,morley12,SPEX-PRISM,1300.0,5.5,-0.0,,189964.6080968351,2.40995786092951e-19,0.2177375171007345
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,morley14,SPEX-PRISM,450.0,5.0,-0.0,,626612.5865199903,3.659532866050634e-17,2.6831278541716945
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,180103.06327274325,1.3385281090957152e-19,0.1622715145967494
spex_prism_0304-3945_161024.fits,J0304-3945,161024, 23:07:43.42, 05:20:53.0,sonora18,SPEX-PRISM,2400.0,3.0,-0.0,,18426.77112177393,2.4931950236187182e-20,0.07003363486371796
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,btcond,SPEX-PRISM,2800.0,0.0,0.5,0.0,363804.17172235483,8.172719464730714e-20,0.12679783482808168
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,btnextgen,SPEX-PRISM,2800.0,0.0,0.5,0.0,362569.9146890028,8.183160880554516e-20,0.12687880703857926
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,btsettl08,SPEX-PRISM,1500.0,5.0,-0.5,0.2,7550.131185567186,1.1626566674114025e-18,0.47824923619796816
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,btsettl15,SPEX-PRISM,1600.0,3.5,-0.0,,7237.481867355376,1.1238366452073502e-18,0.47019730591966286
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,burrows06,SPEX-PRISM,1500.0,4.5,0.5,,239115.93749051413,7.851575153625347e-19,0.39301301968969343
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,cond01,SPEX-PRISM,1400.0,2.5,-0.0,,465736.24813756463,8.751862053279226e-19,0.41493376211157407
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,drift,SPEX-PRISM,1500.0,3.0,-0.6,,5067.103150625191,1.4247428112255292e-18,0.5294156545668541
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,dusty01,SPEX-PRISM,1600.0,6.0,-0.0,,6865.623539162287,8.772353620149787e-19,0.4154192400411782
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,madhusudhan11,SPEX-PRISM,1000.0,3.8,-0.0,,9131.809723817532,7.740420480525882e-18,1.2339876651607393
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,morley12,SPEX-PRISM,700.0,5.5,-0.0,,497247.81804136105,3.724925066546328e-17,2.706994118305591
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,morley14,SPEX-PRISM,450.0,5.0,-0.0,,1059317.8533093832,6.368997433581824e-17,3.5396806260363434
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,703601.7037994186,5.301866525499846e-19,0.322955687304594
spex_prism_0343+3204_170219.fits,J0343+3204,170219, 03:43:49.62, 32:04:07.5,sonora18,SPEX-PRISM,1600.0,3.0,-0.0,,371065.3923897996,5.998570911684007e-19,0.3435203269688437
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,btcond,SPEX-PRISM,2700.0,0.0,0.5,0.0,4265075.490993235,3.936590271281243e-18,0.8800121113993516
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,btnextgen,SPEX-PRISM,2700.0,0.0,0.5,0.0,4255197.092982326,3.94624473406279e-18,0.8810905626535988
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,btsettl08,SPEX-PRISM,1100.0,3.5,-0.5,0.2,803314.598504007,3.3182000122987614e-16,8.07941324892168
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,btsettl15,SPEX-PRISM,1600.0,3.5,-0.0,,1405639.9247852135,6.301581177912704e-17,3.520896911262318
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,burrows06,SPEX-PRISM,1500.0,4.5,0.5,,3311821.5075438507,3.8761361834291093e-17,2.761391955921625
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,cond01,SPEX-PRISM,1400.0,2.5,-0.0,,4275718.05499297,4.308903895608766e-17,2.9114674948371277
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,drift,SPEX-PRISM,1100.0,3.5,0.3,,275123.1740345511,4.632869556947303e-16,9.546706655018683
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,dusty01,SPEX-PRISM,1100.0,6.0,-0.0,,23489.468422295053,1.43372386775583e-15,16.79427651305297
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,madhusudhan11,SPEX-PRISM,800.0,3.8,-0.0,,938680.6189935778,1.5774459824537047e-15,17.615938686052193
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,morley12,SPEX-PRISM,700.0,5.5,-0.0,,4335730.601074863,1.7697588563383573e-15,18.658880746557635
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,morley14,SPEX-PRISM,450.0,4.0,-0.0,,6440445.22431464,2.0606306227344984e-15,20.133932886624542
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,5391242.940865605,2.2927684040989857e-17,2.1237756443840476
spex_prism_1830-0200_170731.fits,J1830-0200,170731, 18:30:06.56,-02:00:11.0,sonora18,SPEX-PRISM,1700.0,3.0,-0.0,,3834426.622496711,2.3558255554674555e-17,2.1527822609638907
spex_prism_0436+2300_170216.fits,J0436+2300,170216, 04:36:09.43, 23:00:09.2,btcond,SPEX-PRISM,2800.0,0.0,0.3,0.0,85032.69309924707,2.0882769865393973e-20,0.06409476994789012
spex_prism_0436+2300_170216.fits,J0436+2300,170216, 04:36:09.43, 23:00:09.2,btnextgen,SPEX-PRISM,2900.0,0.5,0.5,0.0,84048.11199767566,1.61874248447453e-20,0.056430958164950626
spex_prism_0436+2300_170216.fits,J0436+2300,170216, 04:36:09.43, 23:00:09.2,btsettl08,SPEX-PRISM,1800.0,5.0,-0.0,0.0,25460.08491049402,1.096963999847753e-19,0.14690099230614553
spex_prism_0436+2300_170216.fits,J0436+2300,170216, 04:36:09.43, 23:00:09.2,btsettl15,SPEX-PRISM,1750.0,5.5,-0.0,,41808.01979993828,1.1639191850960617e-19,0.15131777797163853
